ID,128 rate,256 rate,512 rate, E[score], E[sum]
36,0.13219072542215543,0.0029122706360243263,2.175979961462601e-06,457.11039993498656,125.6622632093962
37,0.6703564761189644,0.12409980129608927,0.00033695774059542633,992.5896729088205,206.47072666672713
38,0.9161854471770412,0.6693468583460793,0.03262127833178253,2190.5009657310516,382.2716357782761
39,0.9077159282459852,0.5158749616522234,0.014416025065930893,1810.775994290073,327.28201926548144
40,0.001680913943854191,6.127310343013761e-08,5.408875932095087e-17,247.24366793548987,85.18864468563028
41,0.15266921931140628,0.0033295519510832708,1.4729312528066537e-07,509.8583740002269,133.6156143258853
42,0.9076267845517334,0.4429604819734991,0.0024789079544321408,1513.1096113823567,281.706274106594
43,0.9113210690117981,0.4425214216072844,0.0004454351981285233,1614.5778639115035,295.8662605691952
44,0.7448367375655269,0.051582461634626556,6.650063287246024e-05,1027.3009865561191,218.30587082924475
45,0.04849579417597193,0.00013362074654434036,1.2329719947237976e-09,434.3638027862485,122.21667612901177
46,0.016557096655146732,1.3145808616700713e-05,9.713306486141586e-12,325.90749428657614,101.74833447767746
47,0.010004064161858313,4.188275024788254e-06,4.916202434652405e-14,321.22024748979493,100.02532783320058
48,0.8515715931212642,0.39695225794676925,0.009649873070995369,1466.989682558026,273.9521310016613
49,0.026892722266087823,1.4521690197887508e-05,6.078001262258664e-12,356.80471585283254,106.57106434203226
50,0.8933559476734095,0.379226799962782,0.0002985355664676224,1437.8670655976753,271.4422755301453
51,0.6670005114621582,0.03710502547519406,1.985899612629399e-07,859.9232416239454,186.01092818132915
52,0.6195483117644276,0.08014839314511492,0.00011099993791776154,974.304544494076,210.9063179733098
53,0.4472193028098464,0.010381277005695338,8.662392285103392e-07,752.9628453242834,183.03477425125354
54,0.20157437432214356,0.007588511751432768,1.0193710632615394e-05,621.8284869562692,155.14819101031622
55,0.9615547541060881,0.6449652370053365,0.006103854627258097,2082.5861336628072,368.0914184956213
56,0.0040748120148183225,3.816370238285309e-06,1.4288491082414381e-12,258.1131784391677,87.62802814742273
57,0.6533553137740302,0.14300934330898582,0.00047737413926144366,1034.02622868236,218.1383786954689
58,0.5622505532507381,0.07382744523865593,0.00011861078767689348,842.6574565524583,182.77575049359066
59,0.5974643470817603,0.045718931007308866,7.00641511610959e-05,866.40438818394,190.17923977223748
60,0.9679378215082365,0.783763802512628,0.02468078711198996,2421.978740438235,416.0646945394864
61,0.9778925547282576,0.3661193360655937,0.0002403880513215694,1504.4993836350054,282.2642349585513
62,0.050606269608905054,0.00016504492352796158,1.0321773949955277e-11,261.4837767400252,82.37152332837458
63,0.6446730142332491,0.08740953151554992,0.0005083734573517152,843.5240530883523,185.66465312084895
64,0.902389578312491,0.48442818744534016,0.007198598450753744,1708.785779212974,310.4392178037072
65,0.8039821495252595,0.1377478870221459,0.00011003403098644705,1087.251107517134,224.74856662994392
66,0.9093122002401384,0.6971818870972893,0.021849249285279263,2190.7045995454746,381.07219600251375
67,0.9490316860406545,0.5003582566440035,0.001970231965325634,1705.7621216985594,312.3308905121326
68,0.6627011817284169,0.13740242731695576,0.0006035474178001902,981.6207772643306,205.06802860556692
69,0.12322430774662305,0.0027263625038430462,2.013369464509038e-06,447.28954285964744,123.2940670490183
70,0.10186553939156136,0.0007296673655754381,7.846953416643885e-09,495.9717879873303,132.3302677248819
71,0.03968660842125949,0.00015316660383636875,1.3245265788173675e-09,405.3629148722206,116.48966236942675
72,0.9359810717705215,0.23761593119790156,0.0,1408.9338234358006,272.93389894722236
73,0.05080275404336046,9.539440250285625e-06,4.910864561607536e-12,475.6600455903731,130.3264426813604
74,0.2420452936740148,0.0009624738358031241,1.6283551522249633e-08,624.3717602129241,156.74544657146916
75,0.33949156290979504,0.01559674197437256,6.663882872180008e-05,599.937860762736,147.39408050446002
76,0.8052238179458452,0.3924031771867732,0.005707384975272165,1505.1170348535882,289.0018728941519
77,0.7201441086230485,0.22829512558604687,0.0015259509159932997,1167.712182596425,230.7313293413374
78,0.8985302379963459,0.29768274709425496,0.0022320535726215412,1359.254685981148,259.5253018423036
